Access to electricity (% of population),"Current health expenditure per capita, PPP (current international $)",GDP per capita (constant LCU),"Government expenditure on education, total (% of GDP)","Intentional homicides (per 100,000 people)","Life expectancy at birth, total (years)",Out-of-pocket expenditure (% of current health expenditure),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Country
100.0,2427.62768555,18686.2564922093,4.973380088806151,2.1165412994,78.24390243902441,24.67036438,17.8,5.37900018692017,69.051,Estonia
76.5039825439453,695.69836426,37158.9630965135,5.092749977111818,11.55752804,59.401,11.2639513,13.3,21.9710006713867,23.980999999999998,Eswatini
44.9799575805664,66.64078522,17743.5600760287,4.73791980743408,8.860741689197999,66.24,35.46655273,7.2,2.08200001716614,21.225,Ethiopia
100.0,1014.113964844,97709.257374238,5.214429950714114,9.7121074396,82.5487804878049,33.325310516,6.180000000000001,7.987999963760378,42.225,Faroe Islands
99.5933609008789,372.46304321,12007.0385739472,4.631618022918699,11.79671393474,67.34100000000001,14.18784904,5.0,4.07999992370605,56.75,Fiji
100.0,4457.17089844,41745.9948836244,6.3762102127075195,1.6296716121,81.7341463414634,18.43068314,15.9,6.65899991989136,85.446,Finland
100.0,5250.4453125,35030.0893140485,5.45160007476807,1.1986365025,82.7243902439024,9.24835968,17.7,8.338000297546388,80.709,France
100.0,896.3875061040001,647208.5966663528,3.46857805252075,1.76983679158,77.462,52.36500091600001,7.92,11.934000015258801,61.897,French Polynesia
93.0356826782227,490.83758545,2646214.93625778,3.195750045776366,4.49482121972,66.187,23.11415291,7.1,20.145000457763697,89.741,Gabon
60.3,80.81072998,26269.425089853703,2.42030000686646,2.7563353591000004,61.735,29.33734131,5.1,9.10700035095215,61.931000000000004,"Gambia, The"
100.0,795.90411377,10834.4770478697,3.5210599899292006,2.2233624935,73.6,47.668293,8.2,14.741999626159698,59.038999999999994,Georgia
100.0,6098.20263672,38880.7173447871,4.9051198959350595,0.9479766191,80.8926829268293,12.6487093,13.6,3.0250000953674303,77.376,Germany
82.3945770263672,167.97952271,5409.97633429522,3.98943996429443,2.0912410173,63.78,37.68502808,5.4,4.50899982452393,56.707,Ghana
100.0,2340.16577148,17401.6085929482,4.622268104553224,0.94086394499,81.7878048780488,36.43870163,5.0,15.4739999771118,79.388,Greece
100.0,355.397329712,277334.309123039,4.845433855056761,5.318394554,70.8487804878049,52.37432708800001,5.84,9.725599956512458,87.052,Greenland
95.29198455810551,693.81774902,22454.755676187204,3.17379999160767,10.823096488,72.384,54.48682404,1.7,8.917199993133552,36.396,Grenada
100.0,1677.0543609620004,31387.2399980696,4.43353600502014,13.614011081360001,79.859,39.311533356,5.000000000000001,5.675000190734861,94.859,Guam
94.69546508789058,482.96057129,30911.5982473166,3.2121999263763397,22.501348718000003,74.063,57.50035477,2.7,2.5069999694824197,51.43899999999999,Guatemala
44.0,109.24282074,5273014.26737062,2.3159399032592796,4.566169012404001,61.185,60.61617279,6.3,4.32999992370605,36.5,Guinea
28.6620216369629,123.18437958,272886.14529897604,4.845433855056761,1.1487047532999999,58.003,74.47859955,4.0,2.4869999885559104,43.777,Guinea-Bissau
91.8495254516602,512.92156982,1333851.11335955,5.4935798645019505,14.248909187999999,69.774,32.29924011,29.2,11.812999725341802,26.689,Guyana
45.277889251709006,143.62878418,57010.1736852194,2.78046989440918,6.67974266,63.66,43.58200836,11.7,13.914999961853,56.192,Haiti
91.88720703125,362.26046753,22615.345167721698,6.06746006011963,38.925591104,75.08800000000001,51.21348572,2.9,5.22900009155273,57.73,Honduras
100.0,2115.19238281,4200014.24777141,4.6670999526977495,2.4871986353,76.0658536585366,26.91471291,19.1,3.4600000381469704,71.64399999999999,Hungary
100.0,5113.22167969,7488349.56948684,7.65821981430054,0.89096913683,82.8609756097561,15.94566441,14.0,3.22199988365173,93.855,Iceland
95.2358551025391,275.13040161,106599.544421171,4.3991260528564435,3.0792324418,69.416,62.66708374,16.3,5.39900016784668,34.472,India
98.51,375.15563965,40459014.2051914,3.58360004425049,0.43453458883999996,71.509,34.85082245,3.4,4.83500003814697,55.985,Indonesia
99.9,715.95831299,5355932.59159558,4.260513973236084,4.566169012404001,70.454,51.3521843,3.0,12.8249998092651,70.678,Iraq
100.0,5896.69189453,68090.0682067833,3.5068600177764906,0.8716054598999999,82.25609756097559,12.08332729,11.5,5.15799999237061,63.405,Ireland
100.0,3207.46630859,148340.557918107,6.0926198959350595,1.492021506,82.8024390243903,21.13713837,5.4,3.77900004386902,92.501,Israel
100.0,3624.08227539,28636.7971844091,4.04493999481201,0.5690506607,83.34634146341459,23.54508972,8.2,9.836000442504881,70.736,Italy
98.9332809448242,559.11590576,304828.445340485,5.16918992996216,43.852281528,74.368,17.06056595,2.2,7.949999809265139,55.985,Jamaica
100.0,4503.68212891,4363986.15655205,3.18217992782593,0.26257409562,84.2109756097561,12.7484436,18.5,2.33899998664856,91.698,Japan
99.9,737.75085449,2974.79369682245,3.07253003120422,1.3591066275,74.405,30.67394447,2.9,14.612999916076697,91.20299999999999,Jordan
100.0,783.76342773,798586.0863840359,2.61595010757446,5.06083427,73.15,33.47025299,22.5,4.55100011825562,57.54,Kazakhstan
75.0,179.18043518,96041.99971723651,5.30625009536743,4.9287280243,66.342,23.62028885,3.2,2.64599990844727,27.506999999999998,Kenya
100.0,277.83273315,1675.08460452698,4.3790040016174325,6.27635640734,68.116,0.09893881,14.4,9.177999973297126,54.835,Kiribati
100.0,598.4246124260001,3177.51904976347,4.182406091690062,2.3989300898,72.1951219512195,44.151006697999996,6.36,9.940199851989753,47.0302,Kosovo
100.0,3669.01660156,9372.450815281021,4.35825400352478,3.5619675807799993,75.398,10.81599808,2.3,2.30299997329712,100.0,Kuwait
100.0,1895.77575684,14408.5489826635,4.39711999893188,4.3558049657,74.78292682926829,39.34200287,21.2,6.53299999237061,68.222,Latvia
100.0,1085.85119629,8731824.91033076,5.306193923950196,2.4929265033,78.875,33.21875,3.3,6.27600002288818,88.758,Lebanon
47.0,308.99752808,10993.649318580101,6.98518991470337,43.56460456,53.705,16.03917503,21.2,22.830999374389602,28.585,Lesotho
25.9182662963867,12642.83105469,284.216751657865,2.5841200351715097,6.505978044139999,63.73,41.787166600000006,6.8,2.7249999046325697,51.615,Liberia
67.0,1240.3461151140002,5170.815418537821,5.34761209487915,2.4547917590640003,72.72399999999999,28.587038897999996,5.2,18.6259994506836,80.393,Libya
100.0,562.7220245359999,107647.86811538406,4.1972539901733406,2.6372698982,83.0414634146342,30.579252052000005,6.36,5.218799829483032,14.370999999999999,Liechtenstein
100.0,2312.95532227,15536.7085491689,3.81282997131348,4.5693560421,75.6804878048781,31.6426506,31.9,6.2610001564025906,67.855,Lithuania
100.0,6047.82226563,94314.81732419631,3.56959009170532,0.33788692276,82.2951219512195,10.47403049,13.5,5.24399995803833,91.223,Luxembourg
25.907812118530302,79.07378387,825564.443376317,2.82548999786377,2.3539363013780004,66.681,28.10388565,3.9,1.8329999446868899,37.861,Madagascar
18.02,119.51282501,78795.3555384052,4.71483993530273,1.107500775526,63.798,11.18967342,3.7,5.6739997863769505,17.174,Malawi
100.0,1193.85388184,44490.2687114217,4.16318988800049,1.9834289219840002,75.997,35.12428665,5.5,3.37800002098084,76.607,Malaysia
100.0,1442.57324219,145327.36419231098,4.09970998764038,7.943734576499999,78.627,20.62516403,2.3,6.43400001525879,40.238,Maldives
50.9,90.00173187,275756.048059951,3.7873098850250204,11.17530216654,58.893,33.89597702,4.8,7.34100008010864,43.136,Mali
100.0,3897.32861328,24628.4368851904,4.82437992095947,1.5936073578999999,82.44878048780491,34.29564285,7.5,3.36700010299683,94.678,Malta
44.526912689209006,190.13778687,52679.8496849987,1.89546000957489,10.008852032107999,64.704,51.99076462,4.4,9.61400032043457,54.507,Mauritania
97.46600341796879,1380.73596191,291584.28021878604,4.7193498611450195,2.9198600992,74.4163414634146,48.53819656,7.8,6.68900012969971,40.766,Mauritius
100.0,1065.95007324,145090.08946378698,4.52281999588013,29.071061625,74.992,42.070026399999996,5.1,3.65400004386902,80.444,Mexico
100.0,479.85287476,46016.6064654665,5.43973016738892,4.096792902200001,71.808,40.09463882,15.9,5.36499977111816,42.726000000000006,Moldova
98.1,519.26660156,5906814.07847277,4.0885901451110795,6.1825479289,69.689,32.36438751,13.0,5.94600009918213,68.543,Mongolia
100.0,1711.20996094,4985.91015447004,4.449820089340208,2.2299989009,76.77,39.610076899999996,10.3,14.7559995651245,67.15,Montenegro
100.0,467.12515259,27042.4356386607,3.625209951400758,1.4155228849000001,76.453,46.98527527,2.9,8.954999923706051,62.994,Morocco
31.1,117.79573822,22247.174922666898,5.49984979629517,11.2516165722,60.163000000000004,9.69153214,4.9,3.24200010299683,36.528,Mozambique
53.873874664306605,882.66326904,57640.99349376441,4.77619400024414,9.968890959576,63.373000000000005,8.42911339,8.7,20.5869998931885,51.042,Namibia
93.92,180.40550232,33202.678698200696,5.10206985473633,2.2997839964,70.47800000000001,50.79715729,8.8,1.4659999608993501,20.153,Nepal
100.0,5634.52929688,43573.243292361,5.1750998497009295,0.58618158968,81.8121951219512,10.79894257,12.6,2.9749999046325697,91.876,Netherlands
100.0,1094.584362794,1166551.4527113978,4.852632045745848,2.5875064405,77.14878048780491,35.998210526,5.4399999999999995,12.7810001373291,71.104,New Caledonia
